dep-left-nsubjpass-deps,dep-left-:-tags,dep-left-jjr-tags,dep-right-nnps-tags,concatenated-types,dep-right-advmod-deps,dep-right-appos-deps,dep-left-conj-deps,dep-right-punct-deps,dep-right-nsubjpass-deps,dep-right-dobj-deps,dep-right-advcl-deps,dep-right-rb-tags,dep-right-nn-tags,head-tag,dep-left-dist,dep-left-acomp-deps,dep-right-csubj-deps,dep-left-nnps-tags,dep-right-vbg-tags,dep-left-csubj-deps,dep-left-jjs-tags,dep-left-dative-deps,dep-left-attr-deps,dep-left-advmod-deps,dep-right-vbd-tags,dep-right-:-tags,dep-right-pobj-deps,dep-right-vbn-tags,dep-left-pobj-deps,"dep-left-,-tags",dep-left-poss-deps,dep-left-nsubj-deps,dep-left-prep-deps,dep-left-relcl-deps,dep-right-''-tags,dep-left-ccomp-deps,dep-right-dep-deps,dep-left-punct-deps,dep-left-vbz-tags,ent1-dep,dep-right-vb-tags,dep-left-npadvmod-deps,dep-right-vbz-tags,dep-dist,dep-right-ccomp-deps,dep-left-jj-tags,dep-right-parataxis-deps,dep-right-oprd-deps,"dep-right-,-tags",dep-left-prp-tags,dep-right-md-tags,dep-left-pcomp-deps,dep-right-jj-tags,dep-right-dt-tags,dep-right-agent-deps,ent2-dep,dep-right-xcomp-deps,dep-right-dist,dep-right-npadvmod-deps,dep-left-rb-tags,dep-left-nn-tags,ent2-type,dep-left-det-deps,dep-left-dep-deps,dep-right-nnp-tags,id,dep-left-vbp-tags,dep-right-``-tags,dep-left-vbn-tags,dep-right-pcomp-deps,dep-left-vbg-tags,dep-right-acomp-deps,dep-right-jjs-tags,dep-right-relcl-deps,dep-left-compound-deps,dep-right-poss-deps,dep-left-parataxis-deps,dep-right-in-tags,dep-right-acl-deps,dep-right-nns-tags,dep-right-cd-tags,dep-left-advcl-deps,dep-left-cd-tags,label,dep-left-``-tags,dep-right-attr-deps,dep-right-conj-deps,dep-left-dt-tags,dep-left-xcomp-deps,dep-left-nns-tags,dep-right-nsubj-deps,dep-left-in-tags,dep-left-intj-deps,dep-right-prep-deps,dep-left-oprd-deps,dep-left-amod-deps,dep-left-appos-deps,ent1,dep-right-det-deps,dep-left-vbd-tags,dep-right-nummod-deps,ent2,dep-left-dobj-deps,dep-right-nmod-deps,dep-left-vb-tags,dep-right-compound-deps,dep-right-vbp-tags,dep-left-nnp-tags,sent,dep-left-acl-deps,ent1-type,dep-right-intj-deps,dep-left-agent-deps,dep-left-md-tags,dep-left-nmod-deps
,,,,GPEGPE,,,,,,,,,1,NOUN,2,,,,,,,,,,,,1,,1,,,,1,,,,,,,compound,,,,6,,,,,,,,,,,,pobj,,3,,,,GPE,,,1,26,,,,,,,,,,,,1,,,,,,NON,,,,,,,,1,,1,,,,Umbria,,,,Perugia,,,,1,,1,Officials in Perugia in Umbria province said five people were arrested there Tuesday night after police stopped their car and found $1 million in bogus bills in the trunk .,,GPE,,,,
,,,,ORGGPE,,,,,,,,,1,VERB,5,,,,,,,,,,,,,,1,,,,1,,,1,,,,compound,,,,8,,,,,,,,,,,,nmod,,2,,,,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,2,1,1,,,,,,ANSA,,1,,Umbria,1,,,1,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,ORG,,,,1
,,,,ORGGPE,,,1,,,,,,1,VERB,6,,,,,,,,,,,,,,1,,,,1,,,1,,,,compound,,,,9,,,,,,,,,,,,conj,,2,,,,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,2,1,1,,,,,,ANSA,,1,,Lazio,1,,,1,,2,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,ORG,,,,1
,,,,ORGGPE,,,,,,,,,1,VERB,6,,,,,,,,,,,,,,2,,,,2,,,1,,,,compound,,,,9,,,,,,,,,,,,pobj,,2,,,,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,2,1,2,,,,,,ANSA,,1,,Italy,1,,,1,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,ORG,,,,
,,,,ORGGPE,,,1,,,,,,1,VERB,7,,,,,,,,,,,,,,2,,,,2,,,1,,,,compound,,,,10,,,,,,,,,,,,conj,,2,,,1,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,2,1,2,,,,,,ANSA,,1,,Campania province,1,,,1,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,ORG,,,,
,,,,GPEGPE,,,1,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,nmod,,,,2,,,,,,,,,,,,conj,,0,,,,GPE,,,,27,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Umbria,,,,Lazio,,,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,conj,,,,2,,,,,,,,,,,,nmod,,1,,,,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,1,,,,,,,,,,,Lazio,,,,Umbria,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,nmod,,,,4,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,Umbria,,,,Italy,,1,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,1,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,4,,,,,,,,,,,,nmod,,2,,,,GPE,,,1,27,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Italy,,,,Umbria,,,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,1
,,,,GPEGPE,,,1,,,,,,,NOUN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,nmod,,,,5,,,,,,,,,,,,conj,,1,,,1,GPE,,,1,27,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,Umbria,,,,Campania province,,1,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,1,NOUN,1,,,,,,,,,,,,1,,,,,,,,,,,,,conj,,,,5,,,,,,,,,,,,nmod,,3,,,,GPE,,,1,27,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,Campania province,,,,Umbria,,,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,1
,,,,GPEGPE,,,,,,,,,,NOUN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,conj,,,,5,,,,,,,,,,,,pobj,,2,,,,GPE,,,2,27,,,,,,,,,,,,,,,,,,NON,,,1,,,,,1,,,,,,Lazio,,,,Italy,,1,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,1,,,,,,,NOUN,2,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,5,,,,,,,,,,,,conj,,2,,,,GPE,,,1,27,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Italy,,,,Lazio,,,,,,2,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,1
,,,,GPEGPE,,,1,,,,,,,NOUN,3,,,,,,,,,,,,,,1,,,,1,,,,,,,conj,,,,6,,,,,,,,,,,,conj,,2,,,1,GPE,,,2,27,,,,,,,,,,,,,,,,,,NON,,,1,,,,,1,,,,,,Lazio,,,,Campania province,,1,,,,1,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,1,,,,,,1,NOUN,2,,,,,,,,,,,,1,,,,,,,,,,,,,conj,,,,6,,,,,,,,,,,,conj,,3,,,,GPE,,,1,27,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,Campania province,,,,Lazio,,,,,,2,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,1
,,,,GPEGPE,,,1,,,,,,,PROPN,1,,,,,,,,,,,,,,,,,,,,,,,,,pobj,,,,2,,,,,,,,,,,,conj,,0,,,1,GPE,,,,27,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Italy,,,,Campania province,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,1,PROPN,0,,,,,,,,,,,,,,,,,,,,,,,,,conj,,,,2,,,,,,,,,,,,pobj,,1,,,,GPE,,,,27,,,,,,,,,,,,,,,,,,NON,,,1,,,,,,,,,,,Campania province,,,,Italy,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,GPE,,,,
,,,,GPEGPE,,,,,,,,,,AUX,2,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,4,,,,,,,,,,,,pobj,,1,,,1,GPE,,,1,28,,,,,,,,,,,,,,,,,,NON,,,,,,,1,1,,,,,,Rome,,,,Lazio province,,,,,,,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,1,AUX,1,,,,,,,,,,,,1,,,,,1,,,,,,,,pobj,,,,4,,,,,,,,,,,,nsubj,,2,,,,GPE,,,,28,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Lazio province,,,,Rome,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,1,,,,,,,AUX,3,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,,,5,,,,,,,,,,,,conj,,1,,,1,GPE,,,1,28,,,,,,,,,,,,,,,,,,NON,,,,,,,1,1,,,,,,Rome,,,,Naples,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,1,AUX,1,,,,,,,,,,,,1,,,,,1,,,,,,,,conj,,,,5,,,,,,,,,,,,nsubj,,3,,,,GPE,,,1,28,,,,,,,,,,,,1,,,,,,NON,,,1,,,,,,,1,,,,Naples,,,,Rome,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,AUX,4,,,,,,,,,,,,,,2,,,,2,,,,,,,nsubj,,,,6,,,,,,,,,,,,pobj,,1,,,1,GPE,,,1,28,,,,,,,,,,,,,,,,,,NON,,,,,,,1,2,,,,,,Rome,,,,Campania,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,1,AUX,1,,,,,,,,,,,,2,,,,,1,,,,,,,,pobj,,,,6,,,,,,,,,,,,nsubj,,4,,,,GPE,,,1,28,,,,,,,,,,,,2,,,,,,NON,,,,,,,,,,2,,,,Campania,,,,Rome,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,1,,,,,,,NOUN,1,,,,,,,,,,,,,,,,,,,,,,,,,pobj,,,,2,,,,,,,,,,,,conj,,0,,,,GPE,,,,28,,,,,,,,,,,,,,,,,,NON,,,,,,,,,,,,,,Lazio province,,,,Naples,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,0,,,,,,,,,,,,,,,,,,,,,,,,,conj,,,,2,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,28,,,,,,,,,,,,,,,,,,NON,,,1,,,,,,,,,,,Naples,,,,Lazio province,,,,,,,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,GPE,,,,28,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,Lazio province,,,,Campania,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,0,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,2,,,,GPE,,,1,28,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Campania,,,,Lazio province,,,,,,,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,,,,,,,,NOUN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,conj,,,,4,,,,,,,,,,,,pobj,,1,,,,GPE,,,1,28,,,,,,,,,,,,,,,,,,NON,,,1,,,,,1,,,,,,Naples,,,,Campania,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,GPEGPE,,,1,,,,,,,NOUN,1,,,,,,,,,,,,1,,,,,,,,,,,,,pobj,,,,4,,,,,,,,,,,,conj,,2,,,,GPE,,,1,28,,,,,,,,,,,,1,,,,,,NON,,,,,,,,,,1,,,,Campania,,,,Naples,,,,,,1,Rome is in Lazio province and Naples in Campania .,,GPE,,,,
,,,,PERSONNORP,,,,,,,,,,VERB,4,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,1,,6,,1,,,,,,,,,,amod,,1,,,2,NORP,,,1,34,,,,,,,,,,,,,,,,,,NON,,,,,,,1,1,,,,1,,Reagan,,,,American,,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,4,,,,,,,,,,,,,,1,,,,1,,,,,,,nsubj,,1,,6,,,,,,,,,,,,pobj,,1,,,2,GPE,,,1,34,,,,,,,,,,,,,,,,,,LIV,,,,,,,1,1,,,,,1,Reagan,,,,America,,,,,,1,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,PERSON,,,,
,,,,PERSONNORP,,,,,,,,,,VERB,6,,,,,,,,,,,,,,1,,,,2,,,,,,,nsubj,,,,8,,1,,,,,,1,,,,amod,,1,,,2,NORP,,,1,34,,,,,1,,,,,,,,,,,,,NON,,,,,,,1,2,,,,1,,Reagan,,,,American,1,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,PERSON,,,,
,,,,GPENORP,,1,,,,,,,1,NOUN,3,,,,,,,,,,,,1,,1,,,,1,,,,,,,pobj,,,,7,,1,,,,,,,,,,amod,,3,,,1,NORP,,,1,34,,,,,,,,,,,,1,,,,,,NON,,,,,,,,1,,1,,1,,America,,,,American,,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,GPE,,,,
,,,,GPENORP,,1,,,,,,,2,VERB,6,,,,,,,,,,,,1,,1,,,,2,,,,,,,pobj,,,,11,,1,,,,,,1,,,,amod,,4,1,,2,NORP,,,1,34,,,,,1,,,,,,,1,,,,,,NON,,,,,,,,2,,1,,1,,America,,,,American,1,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,GPE,,,,
,,,,ORGGPE,,,2,,,,,,2,AUX,10,,,,,,,,,,,,3,,3,,,1,3,1,,,,,,pobj,,,,18,,,,,,,,,,,,pobj,,7,,,1,GPE,,,1,35,,,1,,,,,,,,,3,,1,,,,NON,,1,,,,3,,3,,3,,,,Congress,,1,,Washington,,,,,,1,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,ORG,,,,
,,,,DATEORG,,,,,,,,,1,AUX,7,,,,,,,,1,,1,,2,1,3,,,,3,,,,,,,pobj,,,,16,,,,,,,,,,,,pobj,,8,,,2,ORG,,,1,35,,,,,,,,1,,,,2,,2,,,,NON,,,2,,,1,1,3,,2,,,,Dec. 13,,,,Congress,,,,,,1,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,DATE,,,,
,,,,PERSONORG,,,,,,,,,,AUX,7,,,,,,,,1,,1,,,1,3,,,,3,,,,,,,nsubj,,,,13,,,,,,,,,,,,pobj,,5,,,2,ORG,,,1,35,,,,,,,,1,,,,,,2,,,,NON,,,2,,,1,2,3,,,,,,Reagan,,,,Congress,,,,,,1,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,PERSON,,,,
,,,,PERSONGPE,,,,,,,,,,VERB,6,,,,,,,,,,,,,,3,,,,3,,,,,,,nsubj,,,,8,,,,,,,,,,,,pobj,,1,,,1,GPE,,,1,35,,,,,,,,,,,,,,,,,,NON,,,,,,1,1,3,,,,,,Reagan,,,,Washington,,,,,,1,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,PERSON,,,,
,,,,ORGGPE,,,,,,,,,,PROPN,2,,,,,,,,,,,,,,1,,,,1,,,,,,,pobj,,,,3,,,,,,,,,,,,pobj,,0,,,,GPE,,,,36,,,,,,,,,,,,,,,,,,NON,,,,,,,,1,,,,,,the University of Virginia,,,,Charlottesville,,,,,,1,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,ORG,,,,
,,,,DATEORG,,,,,,,,,,AUX,4,,,,,,,,,,,,,,2,,,,2,,,,,,,npadvmod,,,,6,,,,,,,,,,,,pobj,,1,1,,1,ORG,,,1,36,,,,,,,,,,,,,,,,,,NON,,,,,,,,2,,,,,,Dec. 16,,,,the University of Virginia,,,,,,1,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,DATE,,,,
,,,,ORGORG,,,,,,,1,,1,VERB,2,,,,,,,,,,1,,2,,,,,1,,,,1,,,,pobj,,,,8,,,,,,,,,,,,nsubj,,5,,,,ORG,,,1,36,,,1,,,,,,,,,2,,,,,,NON,,,,,,,,,,2,,,,the University of Virginia,,,,Congress,,,,,,1,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,ORG,,,,
,,,,ORGORG,,,,,,,,,,VERB,5,,,,,,,,,,,,,1,2,,,,2,,,,,,,nsubj,,,,8,1,,,,,,,,,,,pobj,,2,,,1,ORG,,,1,36,,,,,,,,,,,,,,,,1,,NON,,,,,,,1,2,,,,,,Congress,,1,,the University of Virginia,,,,,,1,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,ORG,,,,
,,,,ORGLOC,,,,,,,1,,1,VERB,4,,,,,,,,,,1,,2,,1,,,,1,,,1,,,,pobj,,,,10,,,,,,,,,,,,pobj,,5,,,1,LOC,,,1,36,,,1,,,,,,,,,2,,,,,,NON,,,,,,,,1,,2,,,,the University of Virginia,,,,Central America,1,,,,,1,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,ORG,,,,
