dep-left-xcomp-deps,dep-right-vbp-tags,dep-left-md-tags,dep-right-jjs-tags,dep-left-conj-deps,ent2,dep-right-vb-tags,dep-left-vb-tags,dep-left-dep-deps,dep-left-relcl-deps,dep-left-cd-tags,ent1-type,dep-left-det-deps,dep-right-vbz-tags,dep-left-vbd-tags,dep-left-parataxis-deps,label,dep-right-punct-deps,dep-left-npadvmod-deps,dep-left-compound-deps,dep-right-agent-deps,dep-right-intj-deps,dep-left-pobj-deps,dep-dist,head-tag,dep-left-dist,dep-left-vbg-tags,ent1-dep,dep-right-rb-tags,dep-left-nsubjpass-deps,dep-left-``-tags,dep-right-appos-deps,dep-right-npadvmod-deps,dep-right-oprd-deps,dep-right-xcomp-deps,dep-right-nns-tags,dep-right-''-tags,dep-right-vbg-tags,dep-right-nmod-deps,dep-right-nnp-tags,dep-left-dt-tags,dep-right-det-deps,dep-left-acl-deps,dep-right-prep-deps,dep-right-conj-deps,dep-left-vbn-tags,dep-right-nsubjpass-deps,dep-right-poss-deps,dep-right-advmod-deps,dep-right-advcl-deps,dep-left-jjs-tags,dep-left-poss-deps,dep-left-nnps-tags,dep-left-pcomp-deps,dep-right-md-tags,dep-left-nnp-tags,dep-right-cd-tags,dep-right-dt-tags,sent,dep-right-in-tags,dep-left-attr-deps,dep-left-advcl-deps,dep-left-jj-tags,dep-left-amod-deps,dep-left-nsubj-deps,dep-right-acomp-deps,ent2-type,dep-left-:-tags,dep-right-ccomp-deps,dep-right-dep-deps,dep-left-vbz-tags,dep-left-prp-tags,dep-right-attr-deps,dep-right-jj-tags,dep-right-nn-tags,dep-right-vbd-tags,dep-left-dative-deps,concatenated-types,dep-left-csubj-deps,dep-left-rb-tags,dep-left-acomp-deps,"dep-left-,-tags",dep-right-dobj-deps,dep-left-dobj-deps,dep-left-intj-deps,dep-left-appos-deps,dep-right-nummod-deps,dep-right-relcl-deps,dep-right-nnps-tags,dep-right-pobj-deps,dep-left-ccomp-deps,dep-left-vbp-tags,ent1,dep-left-in-tags,"dep-right-,-tags",dep-left-jjr-tags,dep-left-prep-deps,dep-right-vbn-tags,dep-right-:-tags,dep-right-parataxis-deps,ent2-dep,dep-left-agent-deps,dep-right-dist,dep-right-csubj-deps,dep-right-``-tags,dep-right-nsubj-deps,dep-left-oprd-deps,dep-left-advmod-deps,dep-right-pcomp-deps,dep-left-nmod-deps,id,dep-left-nn-tags,dep-left-nns-tags,dep-right-compound-deps,dep-right-acl-deps,dep-left-punct-deps
,,,,,Perugia,,,,,,GPE,,,,,NON,,,,,,1,6,NOUN,2,,compound,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Officials in Perugia in Umbria province said five people were arrested there Tuesday night after police stopped their car and found $1 million in bogus bills in the trunk .,1,,,,,,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,1,,,Umbria,1,,,1,,,,pobj,,3,,,,,,,,26,,,1,,
,,,,,Umbria,,,,,,ORG,,,1,,NON,,,,,,1,8,VERB,5,,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,1,,,,,,,1,,ANSA,1,,,1,,,,nmod,,2,,,1,,,,1,27,,2,1,,
,,,,1,Lazio,,,,,,ORG,,,1,,NON,,,,,,1,9,VERB,6,,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,1,,,,,,,1,,ANSA,1,,,1,,,,conj,,2,,,1,,,,1,27,,2,1,,
,,,,,Italy,,,,,,ORG,,,1,,NON,,,,,,2,9,VERB,6,,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,1,,,,,,,1,,ANSA,2,,,2,,,,pobj,,2,,,1,,,,,27,,2,1,,
,,,,1,Campania province,,,,,,ORG,,,1,,NON,,,,,,2,10,VERB,7,,compound,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,1,,,ORGGPE,,,,,,1,,,,,,,1,,ANSA,2,,,2,,,,conj,,2,,,1,,,,,27,1,2,1,,
,,,,1,Lazio,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,1,,nmod,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Umbria,,,,,,,,conj,,0,,,,,,,,27,,,,,
,,,,,Umbria,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,0,,conj,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Lazio,,,,,,,,nmod,,1,,,,,,,,27,,,,,
,,,,,Italy,,,,,,GPE,,,,,NON,,,,,,1,4,NOUN,2,,nmod,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Umbria,1,,,1,,,,pobj,,1,,,,,,,,27,,,,,
,,,,,Umbria,,,,,,GPE,,,,,NON,,,,,,,4,NOUN,1,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Italy,,,,,,,,nmod,,2,,,,,,,1,27,,,,,
,,,,1,Campania province,,,,,,GPE,,,,,NON,,,,,,1,5,NOUN,3,,nmod,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Umbria,1,,,1,,,,conj,,1,,,,,,,,27,1,,,,
,,,,,Umbria,,,,,,GPE,,,,,NON,,,,,,,5,NOUN,1,,conj,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",1,,,,,,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,1,,,Campania province,,,,,,,,nmod,,3,,,,,,,1,27,,,,,
,,,,,Italy,,,,,,GPE,,,,,NON,,,,,,1,5,NOUN,2,,conj,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Lazio,1,,,1,,,,pobj,,2,,,,,,,,27,,,,,
,,,,1,Lazio,,,,,,GPE,,,,,NON,,,,,,,5,NOUN,2,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,2,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Italy,,,,,,,,conj,,2,,,,,,,1,27,,,,,
,,,,1,Campania province,,,,,,GPE,,,,,NON,,,,,,1,6,NOUN,3,,conj,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,1,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Lazio,1,,,1,,,,conj,,2,,,,,,,,27,1,,,,
,,,,1,Lazio,,,,,,GPE,,,,,NON,,,,,,,6,NOUN,2,,conj,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,2,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",1,,,,,,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,1,,,Campania province,,,,,,,,conj,,3,,,,,,,1,27,,,,,
,,,,1,Campania province,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,1,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Italy,,,,,,,,conj,,0,,,,,,,,27,1,,,,
,,,,,Italy,,,,,,GPE,,,,,NON,,,,,,,2,PROPN,0,,conj,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .",,,,,,,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,,,,Campania province,,,,,,,,pobj,,1,,,,,,,,27,,,,,
,,,,,Lazio province,,,,,,GPE,,,,,NON,,,,,,1,4,AUX,2,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Rome,1,,,1,,,,pobj,,1,,,1,,,,,28,1,,,,
,,,,,Rome,,,,,,GPE,,,,,NON,,,,,,,4,AUX,1,,pobj,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,1,,,,,1,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,1,,,Lazio province,,,,,,,,nsubj,,2,,,,,,,,28,,,,,
,,,,1,Naples,,,,,,GPE,,,,,NON,,,,,,1,5,AUX,3,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Rome,1,,,1,,,,conj,,1,,,1,,,,,28,1,,,,
,,,,,Rome,,,,,,GPE,,,,,NON,,,,,,,5,AUX,1,,conj,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,1,,,,,1,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,1,,,Naples,,,,,,,,nsubj,,3,,,,,,,,28,,,,,
,,,,,Campania,,,,,,GPE,,,,,NON,,,,,,2,6,AUX,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Rome,2,,,2,,,,pobj,,1,,,1,,,,,28,1,,,,
,,,,,Rome,,,,,,GPE,,,,,NON,,,,,,,6,AUX,1,,pobj,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,2,,,,,1,,GPE,,,,,,,,1,,,GPEGPE,,,,,,,,,,,,2,,,Campania,,,,,,,,nsubj,,4,,,,,,,,28,,,,,
,,,,1,Naples,,,,,,GPE,,,,,NON,,,,,,,2,NOUN,1,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Lazio province,,,,,,,,conj,,0,,,,,,,,28,,,,,
,,,,,Lazio province,,,,,,GPE,,,,,NON,,,,,,,2,NOUN,0,,conj,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Naples,,,,,,,,pobj,,1,,,,,,,,28,,,,,
,,,,,Campania,,,,,,GPE,,,,,NON,,,,,,1,3,NOUN,2,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Lazio province,1,,,1,,,,pobj,,0,,,,,,,,28,,,,,
,,,,,Lazio province,,,,,,GPE,,,,,NON,,,,,,,3,NOUN,0,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,Rome is in Lazio province and Naples in Campania .,1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Campania,,,,,,,,pobj,,2,,,,,,,,28,,,,,
,,,,,Campania,,,,,,GPE,,,,,NON,,,,,,1,4,NOUN,2,,conj,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,,,,Naples,1,,,1,,,,pobj,,1,,,,,,,,28,,,,,
,,,,1,Naples,,,,,,GPE,,,,,NON,,,,,,,4,NOUN,1,,pobj,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,Rome is in Lazio province and Naples in Campania .,1,,,,,,,GPE,,,,,,,,,,,GPEGPE,,,,,,,,,,,,1,,,Campania,,,,,,,,conj,,2,,,,,,,,28,,,,,
,,,,,American,,,,,,PERSON,,,,,NON,,1,,,,1,6,VERB,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,,,1,1,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,,,,,,,,,,Reagan,1,,,1,,,,amod,,1,,,1,,,,,34,2,,,,
,,,,,America,,,,,,PERSON,,,,,LIV,,1,,,,1,6,VERB,4,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,1,,,,,,,Reagan,1,,,1,,,,pobj,,1,,,1,,,,,34,2,,,,
,,,,,American,,,,,,PERSON,,,,,NON,,,,,,1,8,VERB,6,1,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",,,,1,1,,,NORP,,,,,,,,,,,PERSONNORP,,,,,,1,,,,,,,,,Reagan,2,,,2,,,,amod,,1,,,1,,,,,34,2,,,,
,,,,,American,,,,,,GPE,,,,,NON,,,,,,1,7,NOUN,3,,pobj,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",1,,,1,1,,,NORP,,,,,,,,1,,,GPENORP,,,,,,,,,,,,1,,,America,1,,,1,,,,amod,,3,,,,,,,,34,1,,,,
,,,,,American,,,,,,GPE,,,,,NON,,,,,,1,11,VERB,6,1,pobj,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,"Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .",1,,,1,1,,,NORP,,,,,,,,2,,,GPENORP,,,,,,1,,,,,,1,,,America,2,,,2,,,,amod,,4,,,,,,,,34,2,,,,
,,,,2,Washington,,,,1,,ORG,,,1,,NON,,,,,,3,18,AUX,10,,pobj,,,,,,,,1,,,,1,,,,3,,1,,,,,,,,,,1,,,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",3,,,,,1,,GPE,,,,,,1,,2,,,ORGGPE,,,,,,,,,,,,3,,,Congress,3,,,3,,,,pobj,,7,,,,,,,,35,1,3,,,
,,,,,Congress,,,,,,DATE,,,,,NON,,,,,,3,16,AUX,7,,pobj,,,,,,,,2,,,,1,,,,2,2,,,,,,,,,,,1,,,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",2,1,,,,,,ORG,,,,,,,,1,1,,DATEORG,,,,,,,,,,1,,2,,,Dec. 13,3,,,3,1,,,pobj,,8,,,1,,,,,35,2,1,,,
,,,,,Congress,,,,,,PERSON,,,,,NON,,,,,,3,13,AUX,7,,nsubj,,,,,,,,2,,,,1,,,,,2,,,,,,,,,,,1,,,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,1,,,,,,ORG,,,,,,,,,1,,PERSONORG,,,,,,,,,,1,,,,,Reagan,3,,,3,1,,,pobj,,5,,,2,,,,,35,2,1,,,
,,,,,Washington,,,,,,PERSON,,,,,NON,,,,,,3,8,VERB,6,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .",,,,,,,,GPE,,,,,,,,,,,PERSONGPE,,,,,,,,,,,,,,,Reagan,3,,,3,,,,pobj,,1,,,1,,,,,35,1,1,,,
,,,,,Charlottesville,,,,,,ORG,,,,,NON,,,,,,1,3,PROPN,2,,pobj,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,,,,,,,GPE,,,,,,,,,,,ORGGPE,,,,,,,,,,,,,,,the University of Virginia,1,,,1,,,,pobj,,0,,,,,,,,36,,,,,
,,,,,the University of Virginia,,,,,,DATE,,,,,NON,,,,,,2,6,AUX,4,,npadvmod,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,,,,,,,ORG,,,,,,,,,,,DATEORG,,,,,,,,,,,,,,,Dec. 16,2,,,2,,,,pobj,,1,,,,,,,,36,1,,,,
,,,,,Congress,,,,,,ORG,,,,,NON,,,,,,,8,VERB,2,,pobj,,,,,,,,,,,,1,,,,2,,1,,,,1,,,,,,1,,,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",2,,,,,1,,ORG,,,,,,,,1,1,,ORGORG,,,,,,,,,,,,2,1,,the University of Virginia,,,,,,,,nsubj,,5,,,,,,,,36,,,,,
,,,,,the University of Virginia,,,,,,ORG,,,1,,NON,,,,,,2,8,VERB,5,,nsubj,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",,,1,,,,,ORG,,1,,,,,,,,,ORGORG,,,,,,,,,,,,,,,Congress,2,,,2,1,,,pobj,,2,,,1,,,,,36,1,,,,
,,,,,Central America,,,,,,ORG,,,,,NON,,,,,,1,10,VERB,4,,pobj,,,,,,,,,,,,1,,,,2,,1,,,,1,,,,,,1,,,"Nor did he argue , as he did in a speech at the University of Virginia in Charlottesville Dec. 16 , that Congress had perpetuated a dangerous situation in Central America by its ` ` on-again , off-again indecisiveness ' ' on his program of aid to the anti-communist Contra rebels .",2,,,,,,,LOC,,,,,,,,1,1,,ORGLOC,,,,,,1,,,,,,2,1,,the University of Virginia,1,,,1,,,,pobj,,5,,,,,,,,36,1,,,,
